T      led    Voc     Q(nC)   spread%  I(uW)  Ispr%  nL  nD  peak(mA) started
 220.0 1.010 1.1132  -0.662    1.1  45.93  0.15 200 200   -4.50 03:53:05
 220.0 1.015 1.1175  -0.690    0.8  59.68  0.04 200 200   -4.73 03:55:25
 220.0 1.020 1.1212  -0.717    1.0  73.31  0.03 200 200   -4.86 03:57:46
 220.0 1.025 1.1240  -0.742    1.6  86.25  0.07 200 200   -5.03 04:00:05
 220.0 1.030 1.1255  -0.760    0.4  99.23  0.10 200 200   -5.11 04:02:24
 225.1 1.010 1.1060  -0.731    4.2  46.36  0.23 200 200   -4.80 04:06:48
 225.1 1.015 1.1089  -0.762    0.9  60.08  0.13 200 200   -4.94 04:09:07
 225.1 1.020 1.1140  -0.783    0.8  73.49  0.07 200 200   -5.15 04:11:27
 225.1 1.025 1.1158  -0.820    2.5  86.58  0.07 200 200   -5.22 04:13:46
 225.1 1.030 1.1189  -0.833    1.3  99.22  0.10 200 200   -5.35 04:16:06
 230.1 1.010 1.0979  -0.784    0.6  46.24  0.16 200 200   -5.00 04:20:26
 230.1 1.015 1.1032  -0.808    1.5  60.10  0.14 200 200   -5.15 04:22:46
 230.1 1.020 1.1068  -0.850    1.3  73.60  0.08 200 200   -5.37 04:25:05
 230.1 1.025 1.1088  -0.864    1.0  86.80  0.05 200 200   -5.48 04:27:25
 230.1 1.030 1.1116  -0.892    0.6  99.59  0.13 200 200   -5.59 04:29:44
 235.1 1.010 1.0915  -0.851    1.8  46.41  0.07 200 200   -5.31 04:34:05
 235.1 1.015 1.0963  -0.881    0.7  60.11  0.07 200 200   -5.48 04:36:25
 235.1 1.020 1.0993  -0.902    1.0  73.72  0.13 200 200   -5.64 04:38:45
 235.1 1.025 1.1022  -0.919    1.5  86.83  0.14 200 200   -5.73 04:41:05
 235.1 1.030 1.1047  -0.933    0.5  99.56  0.14 200 200   -5.83 04:43:25
 240.1 1.010 1.0860  -0.898    1.5  46.16  0.17 200 200   -5.61 04:47:44
 240.1 1.015 1.0901  -0.928    1.4  60.04  0.13 200 200   -5.83 04:50:04
 240.1 1.020 1.0946  -0.946    0.7  73.72  0.06 200 200   -5.96 04:52:23
 240.1 1.025 1.0974  -0.968    0.7  86.59  0.13 200 200   -6.10 04:54:42
 240.1 1.030 1.0991  -0.978    1.5  99.50  0.12 200 200   -6.20 04:57:02
 245.1 1.010 1.0808  -0.938    0.9  46.17  0.23 200 200   -5.96 05:01:22
 245.1 1.015 1.0847  -0.977    1.5  60.13  0.07 200 200   -6.25 05:03:42
 245.1 1.020 1.0873  -0.998    0.7  73.70  0.02 200 200   -6.43 05:06:01
 245.1 1.025 1.0913  -1.010    0.8  86.69  0.18 200 200   -6.51 05:08:20
 245.1 1.030 1.0928  -1.038    1.6  99.47  0.07 200 200   -6.62 05:10:40
 250.1 1.010 1.0735  -0.984    1.1  46.21  0.13 200 200   -6.43 05:15:00
 250.1 1.015 1.0780  -1.015    2.0  60.22  0.05 200 200   -6.62 05:17:20
 250.1 1.020 1.0820  -1.034    1.5  73.81  0.08 200 200   -6.85 05:19:41
 250.1 1.025 1.0855  -1.066    0.5  86.89  0.14 200 200   -7.01 05:22:00
 250.1 1.030 1.0866  -1.085    0.5  99.70  0.04 200 200   -7.12 05:24:19
 255.1 1.010 1.0674  -1.034    0.5  46.16  0.03 200 200   -6.95 05:28:41
 255.1 1.015 1.0715  -1.054    1.8  60.15  0.03 200 200   -7.13 05:31:02
 255.1 1.020 1.0755  -1.075    2.3  73.74  0.23 200 200   -7.30 05:33:23
 255.1 1.025 1.0786  -1.087    0.9  86.84  0.14 200 200   -7.34 05:35:44
 255.1 1.030 1.0815  -1.101    0.2  99.67  0.20 200 200   -7.46 05:38:04
 260.1 1.010 1.0613  -1.066    0.6  46.10  0.15 200 200   -7.37 05:42:27
 260.1 1.015 1.0651  -1.080    1.7  59.91  0.10 200 200   -7.50 05:44:48
 260.1 1.020 1.0703  -1.101    0.6  73.64  0.21 200 200   -7.65 05:47:09
 260.1 1.025 1.0728  -1.118    0.9  87.01  0.20 200 200   -7.70 05:49:30
 260.1 1.030 1.0750  -1.137    1.1  99.81  0.08 200 200   -7.82 05:51:50
 265.1 1.010 1.0557  -1.075    1.6  46.71  0.09 200 200   -7.58 05:56:12
 265.1 1.015 1.0599  -1.113    1.8  60.67  0.32 200 200   -7.88 05:58:33
 265.1 1.020 1.0642  -1.134    0.7  74.05  0.24 200 200   -7.95 06:00:53
